time;exp1_x;exp1_gir;exp2_x;exp2_gir;exp3_x;exp3_gir;exp4_x;exp4_gir;;
0.001;0,01;0,05;-0,01;0,01;0,00;0,02;0,17;0,19;;
0.002;0,01;0,05;-0,01;0,01;-0,01;0,01;0,13;0,30;;
0.055;0,03;0,05;-0,01;0,01;-0,01;0,01;0,13;0,30;;
0.062;0,03;0,05;-0,01;0,01;-0,01;0,01;-0,20;0,22;;
0.096;-0,04;0,06;-0,01;0,01;-0,01;0,01;-0,20;0,22;;
0.118;-0,04;0,06;0,00;0,01;-0,01;0,01;-0,20;0,22;;
0.15;0,06;0,07;0,00;0,01;-0,01;0,05;0,15;0,24;;
0.188;0,06;0,07;0,00;0,01;-0,01;0,05;0,15;0,24;;
0.196;0,06;0,07;0,00;0,01;-0,03;0,04;-0,14;0,19;;
0.25;-0,04;0,05;0,00;0,03;-0,03;0,04;-0,14;0,19;;
0.264;-0,04;0,05;0,00;0,03;-0,03;0,04;-0,01;0,11;;
0.296;0,00;0,06;0,00;0,03;0,01;0,02;-0,01;0,11;;
0.333;0,00;0,06;0,00;0,03;0,01;0,02;-0,01;0,11;;
0.346;0,00;0,06;0,00;0,03;-0,01;0,01;0,03;0,19;;
0.396;-0,03;0,04;0,03;0,07;-0,01;0,01;0,03;0,19;;
0.399;-0,03;0,04;0,03;0,07;-0,01;0,01;-0,09;0,15;;
0.449;0,00;0,04;0,03;0,07;-0,01;0,01;-0,09;0,15;;
0.468;0,00;0,04;0,03;0,07;-0,01;0,01;-0,09;0,15;;
0.496;0,01;0,01;0,06;0,35;0,01;0,01;-0,04;0,11;;
0.538;0,01;0,01;0,06;0,35;0,01;0,01;-0,04;0,11;;
0.546;0,01;0,01;0,06;0,35;0,00;0,11;0,01;0,19;;
0.596;0,03;0,05;-0,56;0,93;0,00;0,11;0,01;0,19;;
0.609;0,03;0,05;-0,56;0,93;0,00;0,11;-0,09;0,26;;
0.653;0,07;0,07;-0,56;0,93;-0,05;0,10;-0,09;0,26;;
0.679;0,07;0,07;0,71;0,92;-0,05;0,10;-0,09;0,26;;
0.696;0,07;0,07;0,71;0,92;0,32;0,41;0,06;0,21;;
0.748;0,08;0,17;1,11;1,33;0,32;0,41;0,06;0,21;;
0.75;0,08;0,17;1,11;1,33;0,32;0,41;0,81;0,99;;
0.796;-0,73;0,80;1,11;1,33;-0,65;0,72;0,81;0,99;;
0.818;-0,73;0,80;0,07;0,44;-0,65;0,72;0,81;0,99;;
0.848;-0,73;0,80;0,07;0,44;0,15;0,40;0,58;0,75;;
0.888;-1,65;1,73;0,70;0,73;0,15;0,40;0,58;0,75;;
0.896;-1,65;1,73;0,70;0,73;1,55;1,59;0,34;0,46;;
0.946;2,36;2,44;1,26;1,28;1,55;1,59;0,34;0,46;;
0.958;2,36;2,44;1,26;1,28;1,55;1,59;0,89;0,96;;
0.996;1,00;1,10;1,26;1,28;0,29;0,59;0,89;0,96;;
1.043;1,00;1,10;0,18;0,50;0,29;0,59;0,89;0,96;;
1.046;1,00;1,10;0,18;0,50;0,11;0,21;0,71;0,96;;
1.096;-1,38;1,44;0,19;0,43;0,11;0,21;0,71;0,96;;
1.1;-1,38;1,44;0,19;0,43;0,11;0,21;0,18;0,43;;
1.146;1,35;1,48;0,19;0,43;1,46;1,48;0,18;0,43;;
1.167;1,35;1,48;0,79;1,01;1,46;1,48;0,18;0,43;;
1.196;1,35;1,48;0,79;1,01;0,60;0,73;0,42;0,69;;
1.245;2,00;2,06;-0,10;0,61;0,60;0,73;0,42;0,69;;
1.246;2,00;2,06;-0,10;0,61;-0,29;0,38;0,33;0,53;;
1.296;-1,04;1,06;-0,58;0,90;-0,29;0,38;0,33;0,53;;
1.31;-1,04;1,06;-0,58;0,90;-0,29;0,38;-0,31;0,53;;
1.356;-0,57;0,68;-0,58;0,90;0,74;0,92;-0,31;0,53;;
1.378;-0,57;0,68;-0,08;0,93;0,74;0,92;-0,31;0,53;;
1.396;-0,57;0,68;-0,08;0,93;0,39;0,54;-0,32;0,65;;
1.446;1,75;1,81;-0,36;0,93;0,39;0,54;-0,32;0,65;;
1.449;1,75;1,81;-0,36;0,93;0,39;0,54;-0,26;0,63;;
1.496;-0,10;0,21;-0,36;0,93;-0,86;0,96;-0,26;0,63;;
1.517;-0,10;0,21;-1,04;1,31;-0,86;0,96;-0,26;0,63;;
1.547;-0,10;0,21;-1,04;1,31;-0,86;0,96;-0,73;0,79;;
1.588;-1,51;1,53;-0,49;0,93;-0,86;0,96;-0,73;0,79;;
1.596;-1,51;1,53;-0,49;0,93;-0,27;0,51;-0,75;0,80;;
1.646;0,48;0,50;-0,50;0,97;-0,27;0,51;-0,75;0,80;;
1.659;0,48;0,50;-0,50;0,97;-0,27;0,51;-0,51;0,73;;
1.696;0,29;0,30;-0,50;0,97;-0,27;0,51;-0,51;0,73;;
1.732;0,29;0,30;-0,98;1,17;-0,27;0,51;-0,51;0,73;;
1.751;0,29;0,30;-0,98;1,17;-0,03;0,63;-0,77;0,79;;
1.796;-1,91;1,97;-0,43;0,76;-0,03;0,63;-0,77;0,79;;
1.799;-1,91;1,97;-0,43;0,76;-0,03;0,63;-0,65;0,68;;
1.846;-0,57;0,63;-0,43;0,76;-0,03;0,63;-0,65;0,68;;
1.868;-0,57;0,63;-0,10;0,54;-1,13;1,19;-0,65;0,68;;
1.896;-0,57;0,63;-0,10;0,54;-1,13;1,19;-0,18;0,23;;
1.946;0,43;0,45;-0,42;0,60;-1,13;1,19;-0,18;0,23;;
1.948;0,43;0,45;-0,42;0,60;-1,13;1,19;-0,25;0,36;;
1.996;-1,32;1,37;0,04;0,25;-1,13;1,19;-0,25;0,36;;
2.009;-1,32;1,37;0,04;0,25;-0,81;0,91;-0,14;0,33;;
2.057;-0,97;1,05;0,04;0,25;-0,81;0,91;-0,14;0,33;;
2.078;-0,97;1,05;0,60;0,61;-0,81;0,91;-0,14;0,33;;
2.096;-0,97;1,05;0,60;0,61;-0,81;0,91;0,41;0,56;;
2.146;0,92;0,95;0,26;0,51;-0,19;0,51;0,41;0,56;;
2.149;0,92;0,95;0,26;0,51;-0,19;0,51;0,43;0,52;;
2.196;-0,16;0,31;0,26;0,51;-0,19;0,51;0,43;0,52;;
2.218;-0,16;0,31;0,51;0,57;-0,19;0,51;0,43;0,52;;
2.252;-0,16;0,31;0,51;0,57;-0,19;0,51;0,36;0,48;;
2.288;-0,58;0,65;0,96;1,00;-0,95;1,00;0,36;0,48;;
2.296;-0,58;0,65;0,96;1,00;-0,95;1,00;0,76;0,95;;
2.346;1,08;1,09;0,59;0,72;-0,95;1,00;0,76;0,95;;
2.36;1,08;1,09;0,59;0,72;-0,95;1,00;0,75;0,85;;
2.396;0,92;0,93;0,59;0,72;-0,71;0,81;0,75;0,85;;
2.434;0,92;0,93;0,40;0,65;-0,71;0,81;0,75;0,85;;
2.446;0,92;0,93;0,40;0,65;-0,71;0,81;0,48;0,54;;
2.496;-0,36;0,41;0,76;0,91;-0,71;0,81;0,48;0,54;;
2.499;-0,36;0,41;0,76;0,91;-0,71;0,81;0,56;0,66;;
2.546;0,87;0,87;0,76;0,91;0,19;0,25;0,56;0,66;;
2.567;0,87;0,87;0,37;0,68;0,19;0,25;0,56;0,66;;
2.596;0,87;0,87;0,37;0,68;0,19;0,25;0,51;0,65;;
2.638;1,31;1,31;-0,04;0,55;-0,34;0,45;0,51;0,65;;
2.651;1,31;1,31;-0,04;0,55;-0,34;0,45;0,13;0,17;;
2.696;-0,19;0,20;0,13;0,54;-0,12;0,17;0,13;0,17;;
2.708;-0,19;0,20;0,13;0,54;-0,12;0,17;0,02;0,14;;
2.752;0,24;0,32;0,13;0,54;-0,12;0,17;0,02;0,14;;
2.778;0,24;0,32;-0,18;0,68;0,79;0,82;0,02;0,14;;
2.796;0,24;0,32;-0,18;0,68;0,79;0,82;-0,01;0,10;;
2.851;1,01;1,02;-0,65;0,84;0,44;0,49;-0,01;0,10;;
2.853;1,01;1,02;-0,65;0,84;0,44;0,49;-0,40;0,41;;
2.93;-0,30;0,32;-0,65;0,84;0,26;0,37;-0,40;0,41;;
2.931;-0,30;0,32;-0,45;0,60;0,26;0,37;-0,40;0,41;;
2.948;-0,30;0,32;-0,45;0,60;0,26;0,37;-0,53;0,65;;
2.988;-0,60;0,61;-0,54;0,66;1,02;1,06;-0,53;0,65;;
2.996;-0,60;0,61;-0,54;0,66;1,02;1,06;-0,45;0,55;;
3.049;0,34;0,40;-0,92;0,99;0,76;0,81;-0,45;0,55;;
3.059;0,34;0,40;-0,92;0,99;0,76;0,81;-0,66;0,68;;
3.096;-0,45;0,47;-0,92;0,99;0,76;0,81;-0,66;0,68;;
3.127;-0,45;0,47;-0,61;0,64;0,23;0,42;-0,66;0,68;;
3.146;-0,45;0,47;-0,61;0,64;0,23;0,42;-0,74;0,81;;
3.196;-1,15;1,16;-0,42;0,44;0,69;0,75;-0,74;0,81;;
3.199;-1,15;1,16;-0,42;0,44;0,69;0,75;-0,51;0,67;;
3.253;-0,18;0,25;-0,42;0,44;0,50;0,65;-0,51;0,67;;
3.268;-0,18;0,25;-0,58;0,60;0,50;0,65;-0,51;0,67;;
3.297;-0,18;0,25;-0,58;0,60;0,50;0,65;-0,43;0,48;;
3.358;-0,49;0,51;-0,24;0,26;-0,19;0,35;-0,43;0,48;;
3.359;-0,49;0,51;-0,24;0,26;-0,19;0,35;-0,38;0,42;;
3.396;-1,16;1,18;0,13;0,31;-0,02;0,31;-0,38;0,42;;
3.409;-1,16;1,18;0,13;0,31;-0,02;0,31;-0,09;0,25;;
3.449;-0,27;0,30;0,13;0,31;-0,02;0,31;-0,09;0,25;;
3.478;-0,27;0,30;0,07;0,27;-0,06;0,31;-0,09;0,25;;
3.496;-0,27;0,30;0,07;0,27;-0,06;0,31;0,12;0,20;;
3.557;0,17;0,22;0,32;0,44;-0,72;0,77;0,12;0,20;;
3.564;0,17;0,22;0,32;0,44;-0,72;0,77;0,22;0,31;;
3.596;-0,60;0,61;0,32;0,44;-0,59;0,64;0,22;0,31;;
3.618;-0,60;0,61;0,68;0,79;-0,59;0,64;0,22;0,31;;
3.646;-0,60;0,61;0,68;0,79;-0,59;0,64;0,44;0,46;;
3.688;-0,03;0,07;0,56;0,74;-0,41;0,43;0,44;0,46;;
3.696;-0,03;0,07;0,56;0,74;-0,41;0,43;0,61;0,61;;
3.746;0,77;0,79;0,58;0,71;-0,88;0,90;0,61;0,61;;
3.763;0,77;0,79;0,58;0,71;-0,88;0,90;0,57;0,60;;
3.796;0,77;0,79;0,58;0,71;-0,88;0,90;0,57;0,60;;
3.827;0,02;0,08;0,79;0,89;-0,73;0,73;0,57;0,60;;
3.846;0,02;0,08;0,79;0,89;-0,73;0,73;0,62;0,69;;
3.896;0,51;0,51;0,53;0,73;-0,27;0,39;0,62;0,69;;
3.899;0,51;0,51;0,53;0,73;-0,27;0,39;0,64;0,64;;
3.946;0,51;0,51;0,53;0,73;-0,46;0,48;0,64;0,64;;
3.975;1,04;1,05;0,32;0,50;-0,46;0,48;0,64;0,64;;
3.996;1,04;1,05;0,32;0,50;-0,46;0,48;0,42;0,42;;
4.038;0,25;0,30;0,39;0,48;-0,34;0,41;0,42;0,42;;
4.046;0,25;0,30;0,39;0,48;-0,34;0,41;0,30;0,36;;
4.096;0,33;0,34;0,08;0,25;0,23;0,36;0,30;0,36;;
4.11;0,33;0,34;0,08;0,25;0,23;0,36;0,21;0,25;;
4.146;0,33;0,34;0,08;0,25;0,23;0,36;0,21;0,25;;
4.178;0,88;0,88;-0,27;0,33;0,23;0,37;0,21;0,25;;
4.196;0,88;0,88;-0,27;0,33;0,23;0,37;-0,05;0,15;;
4.246;0,11;0,18;-0,23;0,27;0,22;0,35;-0,05;0,15;;
4.249;0,11;0,18;-0,23;0,27;0,22;0,35;-0,28;0,30;;
4.296;0,11;0,18;-0,23;0,27;0,70;0,74;-0,28;0,30;;
4.318;-0,21;0,28;-0,46;0,50;0,70;0,74;-0,28;0,30;;
4.346;-0,21;0,28;-0,46;0,50;0,70;0,74;-0,34;0,35;;
4.388;0,31;0,36;-0,71;0,72;0,68;0,78;-0,34;0,35;;
4.396;0,31;0,36;-0,71;0,72;0,68;0,78;-0,51;0,53;;
4.446;-0,24;0,32;-0,58;0,62;0,46;0,52;-0,51;0,53;;
4.466;-0,24;0,32;-0,58;0,62;0,46;0,52;-0,63;0,69;;
4.496;-0,24;0,32;-0,58;0,62;0,46;0,52;-0,63;0,69;;
4.528;-0,77;0,79;-0,56;0,65;0,73;0,76;-0,63;0,69;;
4.546;-0,77;0,79;-0,56;0,65;0,73;0,76;-0,59;0,60;;
4.596;-0,22;0,27;-0,72;0,77;0,62;0,67;-0,59;0,60;;
4.599;-0,22;0,27;-0,72;0,77;0,62;0,67;-0,59;0,60;;
4.646;-0,22;0,27;-0,72;0,77;0,20;0,31;-0,59;0,60;;
4.674;-0,42;0,48;-0,44;0,51;0,20;0,31;-0,59;0,60;;
4.696;-0,42;0,48;-0,44;0,51;0,20;0,31;-0,56;0,61;;
4.738;-0,97;0,98;-0,19;0,37;0,26;0,27;-0,56;0,61;;
4.746;-0,97;0,98;-0,19;0,37;0,26;0,27;-0,32;0,35;;
4.796;-0,40;0,41;-0,25;0,40;0,17;0,18;-0,32;0,35;;
4.808;-0,40;0,41;-0,25;0,40;0,17;0,18;-0,19;0,22;;
4.846;-0,40;0,41;-0,25;0,40;0,17;0,18;-0,19;0,22;;
4.878;-0,22;0,25;0,06;0,27;-0,35;0,37;-0,19;0,22;;
4.896;-0,22;0,25;0,06;0,27;-0,35;0,37;-0,09;0,11;;
4.946;-0,62;0,62;0,41;0,48;-0,40;0,42;-0,09;0,11;;
4.948;-0,62;0,62;0,41;0,48;-0,40;0,42;0,20;0,21;;
4.996;-0,62;0,62;0,41;0,48;-0,33;0,41;0,20;0,21;;
5.017;-0,14;0,16;0,33;0,40;-0,33;0,41;0,20;0,21;;
5.046;-0,14;0,16;0,33;0,40;-0,33;0,41;0,36;0,39;;
5.088;0,28;0,30;0,56;0,58;-0,69;0,71;0,36;0,39;;
5.096;0,28;0,30;0,56;0,58;-0,69;0,71;0,40;0,48;;
5.146;-0,04;0,13;0,56;0,58;-0,73;0,75;0,40;0,48;;
5.159;-0,04;0,13;0,76;0,78;-0,73;0,75;0,58;0,59;;
5.203;-0,04;0,13;0,76;0,78;-0,73;0,75;0,58;0,59;;
5.227;0,26;0,31;0,54;0,54;-0,48;0,54;0,58;0,59;;
5.246;0,26;0,31;0,54;0,54;-0,48;0,54;0,63;0,64;;
5.296;0,73;0,79;0,54;0,54;-0,60;0,67;0,63;0,64;;
5.299;0,73;0,79;0,54;0,54;-0,60;0,67;0,52;0,58;;
5.346;0,73;0,79;0,54;0,54;-0,57;0,61;0,52;0,58;;
5.368;0,42;0,47;0,61;0,63;-0,57;0,61;0,52;0,58;;
5.396;0,42;0,47;0,61;0,63;-0,57;0,61;0,52;0,55;;
5.438;0,41;0,46;0,25;0,28;-0,15;0,24;0,52;0,55;;
5.446;0,41;0,46;0,25;0,28;-0,15;0,24;0,44;0,46;;
5.496;0,76;0,82;0,25;0,28;-0,10;0,27;0,44;0,46;;
5.508;0,76;0,82;0,06;0,14;-0,10;0,27;0,15;0,22;;
5.546;0,76;0,82;0,06;0,14;-0,10;0,27;0,15;0,22;;
5.589;0,41;0,49;0,07;0,17;0,01;0,13;0,15;0,22;;
5.596;0,41;0,49;0,07;0,17;0,01;0,13;0,06;0,17;;
5.646;0,14;0,19;-0,28;0,33;0,39;0,40;0,06;0,17;;
5.648;0,14;0,19;-0,28;0,33;0,39;0,40;-0,07;0,21;;
5.696;0,14;0,19;-0,28;0,33;0,48;0,48;-0,07;0,21;;
5.718;0,36;0,38;-0,52;0,55;0,48;0,48;-0,07;0,21;;
5.746;0,36;0,38;-0,52;0,55;0,48;0,48;-0,34;0,40;;
5.791;0,05;0,14;-0,42;0,47;0,45;0,46;-0,34;0,40;;
5.858;0,05;0,14;-0,42;0,47;0,45;0,46;-0,46;0,47;;
5.858;-0,36;0,37;-0,42;0,47;0,72;0,74;-0,46;0,47;;
5.859;-0,36;0,37;-0,60;0,63;0,72;0,74;-0,46;0,48;;
5.899;-0,36;0,37;-0,60;0,63;0,72;0,74;-0,46;0,48;;
5.927;-0,19;0,25;-0,75;0,77;0,61;0,64;-0,46;0,48;;
5.946;-0,19;0,25;-0,75;0,77;0,61;0,64;-0,63;0,67;;
5.996;-0,33;0,34;-0,52;0,56;0,44;0,48;-0,63;0,67;;
5.998;-0,33;0,34;-0,52;0,56;0,44;0,48;-0,63;0,64;;
6.046;-0,69;0,71;-0,52;0,56;0,44;0,48;-0,63;0,64;;
6.068;-0,69;0,71;-0,46;0,49;0,52;0,57;-0,63;0,64;;
6.096;-0,69;0,71;-0,46;0,49;0,52;0,57;-0,49;0,49;;
6.138;-0,51;0,57;-0,45;0,46;0,34;0,44;-0,49;0,49;;
6.146;-0,51;0,57;-0,45;0,46;0,34;0,44;-0,44;0,46;;
6.196;-0,40;0,46;-0,45;0,46;0,00;0,18;-0,44;0,46;;
6.211;-0,40;0,46;-0,14;0,16;0,00;0,18;-0,31;0,33;;
6.246;-0,40;0,46;-0,14;0,16;0,00;0,18;-0,31;0,33;;
6.284;-0,65;0,68;0,05;0,07;-0,03;0,15;-0,31;0,33;;
6.297;-0,65;0,68;0,05;0,07;-0,03;0,15;-0,09;0,17;;
6.346;-0,38;0,43;0,12;0,14;-0,20;0,25;-0,09;0,17;;
6.35;-0,38;0,43;0,12;0,14;-0,20;0,25;0,06;0,18;;
6.396;-0,05;0,21;0,12;0,14;-0,20;0,25;0,06;0,18;;
6.418;-0,05;0,21;0,37;0,39;-0,52;0,53;0,06;0,18;;
6.446;-0,05;0,21;0,37;0,39;-0,52;0,53;0,22;0,27;;
6.488;-0,19;0,24;0,55;0,56;-0,50;0,51;0,22;0,27;;
6.496;-0,19;0,24;0,55;0,56;-0,50;0,51;0,40;0,45;;
6.546;0,03;0,11;0,55;0,56;-0,51;0,52;0,40;0,45;;
6.56;0,03;0,11;0,52;0,53;-0,51;0,52;0,50;0,57;;
6.596;0,03;0,11;0,52;0,53;-0,51;0,52;0,50;0,57;;
6.628;0,45;0,45;0,60;0,63;-0,71;0,71;0,50;0,57;;
6.646;0,45;0,45;0,60;0,63;-0,71;0,71;0,54;0,57;;
6.696;0,32;0,32;0,65;0,67;-0,59;0,60;0,54;0,57;;
6.701;0,32;0,32;0,65;0,67;-0,59;0,60;0,58;0,60;;
6.746;0,37;0,38;0,65;0,67;-0,59;0,60;0,58;0,60;;
6.768;0,37;0,38;0,46;0,48;-0,37;0,40;0,58;0,60;;
6.796;0,37;0,38;0,46;0,48;-0,37;0,40;0,53;0,58;;
6.838;0,70;0,71;0,36;0,39;-0,37;0,38;0,53;0,58;;
6.846;0,70;0,71;0,36;0,39;-0,37;0,38;0,43;0,46;;
6.896;0,51;0,52;0,36;0,39;-0,21;0,23;0,43;0,46;;
6.908;0,51;0,52;0,28;0,32;-0,21;0,23;0,31;0,31;;
6.946;0,51;0,52;0,28;0,32;-0,21;0,23;0,31;0,31;;
6.988;0,33;0,35;-0,03;0,18;0,10;0,17;0,31;0,31;;
6.996;0,33;0,35;-0,03;0,18;0,10;0,17;0,15;0,17;;
7.046;0,53;0,57;-0,03;0,18;0,20;0,24;0,15;0,17;;
7.048;0,53;0,57;-0,20;0,28;0,20;0,24;-0,03;0,11;;
7.096;0,28;0,31;-0,20;0,28;0,20;0,24;-0,03;0,11;;
7.118;0,28;0,31;-0,30;0,34;0,30;0,32;-0,03;0,11;;
7.146;0,28;0,31;-0,30;0,34;0,30;0,32;-0,19;0,25;;
7.196;-0,06;0,12;-0,50;0,52;0,55;0,56;-0,19;0,25;;
7.198;-0,06;0,12;-0,50;0,52;0,55;0,56;-0,35;0,42;;
7.246;0,04;0,14;-0,50;0,52;0,59;0,61;-0,35;0,42;;
7.268;0,04;0,14;-0,59;0,61;0,59;0,61;-0,48;0,51;;
7.296;0,04;0,14;-0,59;0,61;0,59;0,61;-0,48;0,51;;
7.338;-0,15;0,17;-0,57;0,58;0,53;0,54;-0,48;0,51;;
7.346;-0,15;0,17;-0,57;0,58;0,53;0,54;-0,56;0,59;;
7.396;-0,51;0,52;-0,57;0,58;0,60;0,61;-0,56;0,59;;
7.408;-0,51;0,52;-0,61;0,61;0,60;0,61;-0,56;0,61;;
7.446;-0,39;0,40;-0,61;0,61;0,60;0,61;-0,56;0,61;;
7.486;-0,39;0,40;-0,57;0,58;0,52;0,52;-0,56;0,61;;
7.501;-0,39;0,40;-0,57;0,58;0,52;0,52;-0,54;0,57;;
7.546;-0,43;0,44;-0,34;0,35;0,30;0,30;-0,54;0,57;;
7.548;-0,43;0,44;-0,34;0,35;0,30;0,30;-0,49;0,50;;
7.596;-0,67;0,68;-0,34;0,35;0,21;0,22;-0,49;0,50;;
7.617;-0,67;0,68;-0,23;0,24;0,21;0,22;-0,33;0,34;;
7.646;-0,67;0,68;-0,23;0,24;0,21;0,22;-0,33;0,34;;
7.691;-0,45;0,47;-0,14;0,17;0,06;0,09;-0,33;0,34;;
7.696;-0,45;0,47;-0,14;0,17;0,06;0,09;-0,19;0,20;;
7.746;-0,30;0,30;-0,14;0,17;-0,21;0,22;-0,19;0,20;;
7.761;-0,30;0,30;0,17;0,20;-0,21;0,22;-0,05;0,09;;
7.801;-0,42;0,42;0,17;0,20;-0,21;0,22;-0,05;0,09;;
7.827;-0,42;0,42;0,33;0,37;-0,33;0,33;-0,05;0,09;;
7.846;-0,42;0,42;0,33;0,37;-0,33;0,33;0,16;0,21;;
7.896;-0,14;0,17;0,33;0,37;-0,40;0,41;0,16;0,21;;
7.899;-0,14;0,17;0,38;0,43;-0,40;0,41;0,32;0,34;;
7.946;0,13;0,16;0,38;0,43;-0,57;0,57;0,32;0,34;;
7.968;0,13;0,16;0,59;0,62;-0,57;0,57;0,41;0,44;;
7.996;0,13;0,16;0,59;0,62;-0,57;0,57;0,41;0,44;;
8.038;0,07;0,10;0,62;0,64;-0,62;0,62;0,41;0,44;;
8.046;0,07;0,10;0,62;0,64;-0,62;0,62;0,52;0,57;;
8.099;0,27;0,28;0,62;0,64;-0,52;0,52;0,52;0,57;;
8.109;0,27;0,28;0,50;0,54;-0,52;0,52;0,57;0,61;;
8.146;0,54;0,54;0,50;0,54;-0,52;0,52;0,57;0,61;;
8.183;0,54;0,54;0,53;0,56;-0,55;0,55;0,57;0,61;;
8.198;0,54;0,54;0,53;0,56;-0,55;0,55;0,52;0,54;;
8.246;0,42;0,44;0,53;0,56;-0,41;0,42;0,52;0,54;;
8.249;0,42;0,44;0,45;0,46;-0,41;0,42;0,47;0,50;;
8.296;0,45;0,46;0,45;0,46;-0,17;0,19;0,47;0,50;;
8.318;0,45;0,46;0,17;0,18;-0,17;0,19;0,39;0,41;;
8.346;0,45;0,46;0,17;0,18;-0,17;0,19;0,39;0,41;;
8.394;0,60;0,60;0,07;0,09;-0,11;0,15;0,39;0,41;;
8.396;0,60;0,60;0,07;0,09;-0,11;0,15;0,21;0,21;;
8.446;0,39;0,40;0,07;0,09;0,07;0,12;0,21;0,21;;
8.458;0,39;0,40;-0,04;0,07;0,07;0,12;0,05;0,07;;
8.506;0,23;0,26;-0,04;0,07;0,07;0,12;0,05;0,07;;
8.528;0,23;0,26;-0,34;0,37;0,35;0,36;0,05;0,07;;
8.546;0,23;0,26;-0,34;0,37;0,35;0,36;-0,08;0,09;;
8.596;0,27;0,28;-0,34;0,37;0,39;0,41;-0,08;0,09;;
8.599;0,27;0,28;-0,43;0,44;0,39;0,41;-0,27;0,29;;
8.646;0,03;0,10;-0,43;0,44;0,46;0,48;-0,27;0,29;;
8.667;0,03;0,10;-0,43;0,45;0,46;0,48;-0,41;0,45;;
8.701;0,03;0,10;-0,43;0,45;0,46;0,48;-0,41;0,45;;
8.755;-0,22;0,24;-0,62;0,66;0,62;0,63;-0,41;0,45;;
8.756;-0,22;0,24;-0,62;0,66;0,62;0,63;-0,48;0,51;;
8.8;-0,20;0,22;-0,62;0,66;0,55;0,56;-0,48;0,51;;
8.811;-0,20;0,22;-0,62;0,64;0,55;0,56;-0,54;0,55;;
8.846;-0,36;0,38;-0,62;0,64;0,55;0,56;-0,54;0,55;;
8.877;-0,36;0,38;-0,46;0,48;0,44;0,46;-0,54;0,55;;
8.901;-0,36;0,38;-0,46;0,48;0,44;0,46;-0,55;0,58;;
